Time,"{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}"
2025-08-11 12:24:00,155915.72173913044,,,
2025-08-11 12:25:00,179924.11304347825,,,
2025-08-11 12:26:00,176657.0695652174,,,
2025-08-11 12:27:00,153948.9043478261,,,
2025-08-11 12:28:00,182404.75652173912,,,
2025-08-11 12:29:00,202939.21739130432,,,
2025-08-11 12:30:00,174263.65217391305,,,
2025-08-11 12:31:00,150401.5652173913,,,
2025-08-11 12:32:00,174923.44347826086,,,
2025-08-11 12:33:00,201939.4956521739,,,
2025-08-11 12:34:00,174409.94782608695,,,
2025-08-11 12:54:00,,119371.39130434782,,
2025-08-11 12:55:00,,82287.40869565216,,
2025-08-11 12:56:00,,83518.18260869566,,
2025-08-11 12:57:00,,176143.37391304347,,
2025-08-11 12:58:00,,170287.35652173913,,
2025-08-11 12:59:00,,85608.13913043478,,
2025-08-11 13:00:00,,103896.76521739131,,
2025-08-11 13:01:00,,197176.0,,
2025-08-11 13:02:00,,76008.5304347826,,
2025-08-11 13:03:00,,153475.64347826087,,
2025-08-11 13:04:00,,177274.70434782607,,
2025-08-11 13:21:00,,,296387.06086956523,
2025-08-11 13:22:00,,,170762.33913043476,
2025-08-11 13:23:00,,,151187.99130434782,
2025-08-11 13:24:00,,,286803.96521739126,
2025-08-11 13:25:00,,,283589.85217391304,
2025-08-11 13:26:00,,,272154.7043478261,
2025-08-11 13:27:00,,,266761.92173913046,
2025-08-11 13:28:00,,,268566.8260869565,
2025-08-11 13:29:00,,,137835.36521739129,
2025-08-11 13:30:00,,,143306.97391304348,
2025-08-11 13:31:00,,,147984.92173913043,
2025-08-11 13:50:00,,,,149338.44347826086
2025-08-11 13:51:00,,,,137353.26086956522
2025-08-11 13:52:00,,,,176308.8347826087
2025-08-11 13:53:00,,,,190515.7652173913
2025-08-11 13:54:00,,,,152874.79130434783
2025-08-11 13:55:00,,,,162928.3913043478
2025-08-11 13:56:00,,,,197203.8956521739
2025-08-11 13:57:00,,,,186000.00869565218
2025-08-11 13:58:00,,,,153578.59130434782
2025-08-11 13:59:00,,,,182433.44347826086
2025-08-11 14:00:00,,,,204604.17391304346
