Time,"{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}"
2025-08-11 12:24:00,210543.32173913045,,,
2025-08-11 12:25:00,215578.6608695652,,,
2025-08-11 12:26:00,274029.8,,,
2025-08-11 12:27:00,255209.64347826087,,,
2025-08-11 12:28:00,218354.8956521739,,,
2025-08-11 12:29:00,241283.79130434783,,,
2025-08-11 12:30:00,280103.5913043478,,,
2025-08-11 12:31:00,257995.2956521739,,,
2025-08-11 12:32:00,217184.61739130432,,,
2025-08-11 12:33:00,241455.21739130432,,,
2025-08-11 12:34:00,265122.0956521739,,,
2025-08-11 12:54:00,,232973.28695652174,,
2025-08-11 12:55:00,,141763.45217391304,,
2025-08-11 12:56:00,,94961.12173913044,,
2025-08-11 12:57:00,,220994.70434782607,,
2025-08-11 12:58:00,,265094.7913043478,,
2025-08-11 12:59:00,,139601.1652173913,,
2025-08-11 13:00:00,,116998.24347826088,,
2025-08-11 13:01:00,,243624.77391304346,,
2025-08-11 13:02:00,,138601.9391304348,,
2025-08-11 13:03:00,,262475.61739130435,,
2025-08-11 13:04:00,,239216.95652173914,,
2025-08-11 13:21:00,,,172582.8260869565,
2025-08-11 13:22:00,,,86727.00869565217,
2025-08-11 13:23:00,,,90351.3304347826,
2025-08-11 13:24:00,,,191206.81739130433,
2025-08-11 13:25:00,,,159009.95652173914,
2025-08-11 13:26:00,,,129010.37391304347,
2025-08-11 13:27:00,,,131550.04347826086,
2025-08-11 13:28:00,,,141085.07826086957,
2025-08-11 13:29:00,,,83097.60869565216,
2025-08-11 13:30:00,,,88595.56521739131,
2025-08-11 13:31:00,,,80203.91304347826,
2025-08-11 13:50:00,,,,285005.68695652176
2025-08-11 13:51:00,,,,208161.0608695652
2025-08-11 13:52:00,,,,216062.2
2025-08-11 13:53:00,,,,294114.5043478261
2025-08-11 13:54:00,,,,287278.6
2025-08-11 13:55:00,,,,206173.12173913044
2025-08-11 13:56:00,,,,211003.09565217388
2025-08-11 13:57:00,,,,289097.01739130437
2025-08-11 13:58:00,,,,288248.4
2025-08-11 13:59:00,,,,209349.8260869565
2025-08-11 14:00:00,,,,213632.8347826087
