Time,"{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}"
2025-08-05 13:28:00,7297.156521739131,,,
2025-08-05 13:29:00,7294.504347826087,,,
2025-08-05 13:30:00,12950.617391304348,,,
2025-08-05 13:31:00,83947.21739130435,,,
2025-08-05 13:32:00,75399.95652173912,,,
2025-08-05 13:33:00,167175.8,,,
2025-08-05 13:34:00,183426.25217391306,,,
2025-08-05 13:35:00,84582.76521739131,,,
2025-08-05 13:36:00,92888.44347826087,,,
2025-08-05 13:37:00,223991.91304347824,,,
2025-08-05 13:38:00,216555.46956521738,,,
2025-08-05 13:39:00,113653.92173913044,,,
2025-08-05 13:41:00,,78.37391304347827,,
2025-08-05 13:42:00,,13742.608695652172,,
2025-08-05 13:43:00,,84892.77391304348,,
2025-08-05 13:44:00,,150291.2956521739,,
2025-08-05 13:45:00,,158006.9304347826,,
2025-08-05 13:46:00,,150563.3652173913,,
2025-08-05 13:47:00,,166424.42608695652,,
2025-08-05 13:48:00,,206084.2956521739,,
2025-08-05 13:49:00,,211450.05217391305,,
2025-08-05 13:50:00,,169245.5652173913,,
2025-08-05 13:51:00,,182412.55652173914,,
2025-08-05 13:57:00,,,0.0,
2025-08-05 13:58:00,,,19702.93913043478,
2025-08-05 13:59:00,,,56768.9652173913,
2025-08-05 14:00:00,,,93388.06956521739,
2025-08-05 14:01:00,,,130929.34782608695,
2025-08-05 14:02:00,,,170155.73043478263,
2025-08-05 14:03:00,,,211245.7652173913,
2025-08-05 14:04:00,,,249184.87826086956,
2025-08-05 14:05:00,,,287127.84347826085,
2025-08-05 14:06:00,,,324784.7913043478,
2025-08-05 14:07:00,,,365820.27826086956,
2025-08-05 14:14:00,,,,0.0
2025-08-05 14:15:00,,,,5.304347826086956
2025-08-05 14:16:00,,,,60730.24347826086
2025-08-05 14:17:00,,,,151770.6347826087
2025-08-05 14:18:00,,,,178186.03478260868
2025-08-05 14:19:00,,,,193944.64347826087
2025-08-05 14:20:00,,,,195245.04347826086
2025-08-05 14:21:00,,,,179331.8956521739
2025-08-05 14:22:00,,,,177999.98260869563
2025-08-05 14:23:00,,,,180868.13043478262
2025-08-05 14:24:00,,,,286818.7565217391
