Time,"{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}"
2025-08-05 08:05:00,8992.310298985507,,,
2025-08-05 08:06:00,8992.310298985507,,,
2025-08-05 08:07:00,38006.27826086956,,,
2025-08-05 08:08:00,38006.27826086956,,,
2025-08-05 08:09:00,38059.26956521739,,,
2025-08-05 08:10:00,38059.26956521739,,,
2025-08-05 08:11:00,48074.17391304347,,,
2025-08-05 08:12:00,48074.17391304347,,,
2025-08-05 08:13:00,126170.66086956522,,,
2025-08-05 08:14:00,126170.66086956522,,,
2025-08-05 08:15:00,37584.739130434784,,,
2025-08-05 08:24:00,,5931.339130434783,,
2025-08-05 08:25:00,,5926.034782608695,,
2025-08-05 08:26:00,,38064.17391304347,,
2025-08-05 08:27:00,,38064.17391304347,,
2025-08-05 08:28:00,,38105.565217391304,,
2025-08-05 08:29:00,,38105.565217391304,,
2025-08-05 08:30:00,,47704.33043478261,,
2025-08-05 08:31:00,,47704.33043478261,,
2025-08-05 08:32:00,,123851.91304347826,,
2025-08-05 08:33:00,,123851.91304347826,,
2025-08-05 08:34:00,,37639.28695652173,,
2025-08-05 08:39:00,,,5.304347826086956,
2025-08-05 08:40:00,,,31097.843478260867,
2025-08-05 08:41:00,,,31097.843478260867,
2025-08-05 08:42:00,,,38063.686956521735,
2025-08-05 08:43:00,,,38063.686956521735,
2025-08-05 08:44:00,,,37715.90434782608,
2025-08-05 08:45:00,,,37715.90434782608,
2025-08-05 08:46:00,,,51126.973913043475,
2025-08-05 08:47:00,,,51126.973913043475,
2025-08-05 08:48:00,,,142571.41739130433,
2025-08-05 08:49:00,,,142571.41739130433,
2025-08-05 08:58:00,,,,5.304347826086956
2025-08-05 08:59:00,,,,31845.33043478261
2025-08-05 09:00:00,,,,31845.33043478261
2025-08-05 09:01:00,,,,38070.2
2025-08-05 09:02:00,,,,38070.2
2025-08-05 09:03:00,,,,37679.086956521736
2025-08-05 09:04:00,,,,37679.086956521736
2025-08-05 09:05:00,,,,51229.33043478261
2025-08-05 09:06:00,,,,51229.33043478261
2025-08-05 09:07:00,,,,143141.6695652174
2025-08-05 09:08:00,,,,143141.6695652174
