Time,"{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}"
2025-08-05 08:05:00,3596.9241195942027
2025-08-05 08:05:30,3567.761887954023
2025-08-05 08:06:00,3548.5981357333335
2025-08-05 08:06:30,3535.0432866016263
2025-08-05 08:07:00,18384.970077617025
2025-08-05 08:07:30,18344.22403109434
2025-08-05 08:08:00,18311.765316067795
2025-08-05 08:08:30,18311.765316067795
2025-08-05 08:09:00,33133.24686960452
2025-08-05 08:09:30,33133.24686960452
2025-08-05 08:10:00,29652.671186440675
2025-08-05 08:10:30,29652.671186440675
2025-08-05 08:11:00,48393.45084745762
2025-08-05 08:11:30,48393.45084745762
2025-08-05 08:12:00,33577.44406779661
2025-08-05 08:12:30,33577.44406779661
2025-08-05 08:13:00,82762.61694915254
2025-08-05 08:13:30,82762.61694915254
2025-08-05 08:14:00,67925.95254237288
2025-08-05 08:14:30,67925.95254237288
2025-08-05 08:15:00,82577.63050847457
