Time,"{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}"
2025-08-06 09:12:00,210741.8956521739,,,
2025-08-06 09:13:00,426981.3652173913,,,
2025-08-06 09:14:00,401317.1478260869,,,
2025-08-06 09:15:00,184510.6086956522,,,
2025-08-06 09:16:00,222032.57391304345,,,
2025-08-06 09:17:00,758435.1217391305,,,
2025-08-06 09:18:00,721482.6347826087,,,
2025-08-06 09:19:00,185699.48695652175,,,
2025-08-06 09:20:00,216672.6,,,
2025-08-06 09:21:00,1087186.0347826087,,,
2025-08-06 09:22:00,1055821.1217391305,,,
2025-08-06 09:33:00,,86858.8347826087,,
2025-08-06 09:34:00,,179434.55652173914,,
2025-08-06 09:35:00,,185226.10434782607,,
2025-08-06 09:36:00,,219870.18260869564,,
2025-08-06 09:37:00,,489397.7565217391,,
2025-08-06 09:38:00,,454466.4695652174,,
2025-08-06 09:39:00,,184757.20869565217,,
2025-08-06 09:40:00,,205925.31304347827,,
2025-08-06 09:41:00,,824511.4,,
2025-08-06 09:42:00,,803930.7826086956,,
2025-08-06 09:43:00,,185990.2956521739,,
2025-08-06 09:55:00,,,202937.1652173913,
2025-08-06 09:56:00,,,243732.4956521739,
2025-08-06 09:57:00,,,437761.5913043478,
2025-08-06 09:58:00,,,409699.7217391304,
2025-08-06 09:59:00,,,326824.0260869565,
2025-08-06 10:00:00,,,466826.18260869564,
2025-08-06 10:01:00,,,593912.095652174,
2025-08-06 10:02:00,,,692557.4173913043,
2025-08-06 10:03:00,,,437773.81739130436,
2025-08-06 10:04:00,,,676749.7043478261,
2025-08-06 10:05:00,,,873502.3913043478,
2025-08-06 10:12:00,,,,131098.2347826087
2025-08-06 10:13:00,,,,185830.31304347827
2025-08-06 10:14:00,,,,92656.72173913043
2025-08-06 10:15:00,,,,447164.6782608695
2025-08-06 10:16:00,,,,418538.27826086956
2025-08-06 10:17:00,,,,184730.80869565217
2025-08-06 10:18:00,,,,242840.9304347826
2025-08-06 10:19:00,,,,774794.8956521738
2025-08-06 10:20:00,,,,717334.9739130435
2025-08-06 10:21:00,,,,186005.91304347824
2025-08-06 10:22:00,,,,186022.91304347824
