Time,"{pod=""myminio-pool-0-0""}","{pod=""myminio-pool-0-0""}","{pod=""myminio-pool-0-0""}","{pod=""myminio-pool-0-0""}","{pod=""myminio-pool-0-0""}"
2025-07-17 13:35:00,2416736.5467251325,,,,
2025-07-17 13:35:05,2571753.330623023,,,,
2025-07-17 13:35:10,2571753.330623023,,,,
2025-07-17 13:35:15,2571753.330623023,,,,
2025-07-17 13:35:20,2927361.53099545,,,,
2025-07-17 13:35:25,2927361.53099545,,,,
2025-07-17 13:35:30,2635555.3213175344,,,,
2025-07-17 13:35:35,2635555.3213175344,,,,
2025-07-17 13:35:40,2635555.3213175344,,,,
2025-07-17 13:35:45,2635555.3213175344,,,,
2025-07-17 13:35:50,2635555.3213175344,,,,
2025-07-17 13:35:55,2977765.0599415083,,,,
2025-07-17 13:36:00,2792415.314520891,,,,
2025-07-17 13:36:05,3880352.467318422,,,,
2025-07-17 13:36:10,3880352.467318422,,,,
2025-07-17 13:36:15,3880352.467318422,,,,
2025-07-17 13:36:20,3654701.4165507006,,,,
2025-07-17 13:36:25,4057599.1375219696,,,,
2025-07-17 13:36:30,4057599.1375219696,,,,
2025-07-17 13:36:35,4057599.1375219696,,,,
2025-07-17 13:36:40,4057599.1375219696,,,,
2025-07-17 13:36:45,4057599.1375219696,,,,
2025-07-17 13:36:50,3813369.9912127797,,,,
2025-07-17 13:36:55,4170793.669099043,,,,
2025-07-17 13:37:00,4095536.415739462,,,,
2025-07-17 13:37:05,5135072.639877491,,,,
2025-07-17 13:37:10,5135072.639877491,,,,
2025-07-17 13:37:15,5135072.639877491,,,,
2025-07-17 13:37:20,4874775.070750986,,,,
2025-07-17 13:37:25,5198741.61455636,,,,
2025-07-17 13:37:30,5560540.223668708,,,,
2025-07-17 13:37:35,5560540.223668708,,,,
2025-07-17 13:37:40,5560540.223668708,,,,
2025-07-17 13:37:45,5560540.223668708,,,,
2025-07-17 13:37:50,5229639.683065879,,,,
2025-07-17 13:37:55,5444518.494398258,,,,
2025-07-17 13:38:00,5927275.065083733,,,,
2025-07-17 13:38:05,5927275.065083733,,,,
2025-07-17 13:38:10,5927275.065083733,,,,
2025-07-17 13:38:15,5927275.065083733,,,,
2025-07-17 13:38:20,5927275.065083733,,,,
2025-07-17 13:38:25,5964744.58130509,,,,
2025-07-17 13:38:30,5545661.627022596,,,,
2025-07-17 13:38:35,6692846.154118777,,,,
2025-07-17 13:38:40,6692846.154118777,,,,
2025-07-17 13:38:45,6692846.154118777,,,,
2025-07-17 13:38:50,6344036.580285816,,,,
2025-07-17 13:38:55,6406850.820294728,,,,
2025-07-17 13:39:00,6406850.820294728,,,,
2025-07-17 13:39:05,6406850.820294728,,,,
2025-07-17 13:39:10,6406850.820294728,,,,
2025-07-17 13:39:15,6406850.820294728,,,,
2025-07-17 13:39:20,6406850.820294728,,,,
2025-07-17 13:39:25,5014641.56625,,,,
2025-07-17 13:39:30,5271114.1021725675,,,,
2025-07-17 13:39:35,5991277.836679859,,,,
2025-07-17 13:39:40,5991277.836679859,,,,
2025-07-17 13:39:45,5991277.836679859,,,,
2025-07-17 13:39:50,5991277.836679859,,,,
2025-07-17 13:39:55,5643741.3662777785,,,,
2025-07-17 13:40:00,6239648.931008339,,,,
2025-07-17 13:45:00,,8739555.786839604,,,
2025-07-17 13:45:05,,8739555.786839604,,,
2025-07-17 13:45:10,,8739555.786839604,,,
2025-07-17 13:45:15,,8739555.786839604,,,
2025-07-17 13:45:20,,8739555.786839604,,,
2025-07-17 13:45:25,,9608030.308461757,,,
2025-07-17 13:45:30,,9608030.308461757,,,
2025-07-17 13:45:35,,10311259.031554027,,,
2025-07-17 13:45:40,,10311259.031554027,,,
2025-07-17 13:45:45,,10311259.031554027,,,
2025-07-17 13:45:50,,10311259.031554027,,,
2025-07-17 13:45:55,,10855018.971129326,,,
2025-07-17 13:46:00,,12397003.367613634,,,
2025-07-17 13:46:05,,12397003.367613634,,,
2025-07-17 13:46:10,,12397003.367613634,,,
2025-07-17 13:46:15,,12397003.367613634,,,
2025-07-17 13:46:20,,12397003.367613634,,,
2025-07-17 13:46:25,,13508566.133174436,,,
2025-07-17 13:46:30,,12824456.287499996,,,
2025-07-17 13:46:35,,15140265.523904,,,
2025-07-17 13:46:40,,15140265.523904,,,
2025-07-17 13:46:45,,15140265.523904,,,
2025-07-17 13:46:50,,15219883.052310007,,,
2025-07-17 13:46:55,,15219883.052310007,,,
2025-07-17 13:47:00,,15219883.052310007,,,
2025-07-17 13:47:05,,16589992.44116587,,,
2025-07-17 13:47:10,,16589992.44116587,,,
2025-07-17 13:47:15,,16589992.44116587,,,
2025-07-17 13:47:20,,16954960.10120004,,,
2025-07-17 13:47:25,,16954960.10120004,,,
2025-07-17 13:47:30,,16710830.797813619,,,
2025-07-17 13:47:35,,16710830.797813619,,,
2025-07-17 13:47:40,,16710830.797813619,,,
2025-07-17 13:47:45,,16710830.797813619,,,
2025-07-17 13:47:50,,16710830.797813619,,,
2025-07-17 13:47:55,,16843742.503130108,,,
2025-07-17 13:48:00,,18364906.413413335,,,
2025-07-17 13:48:05,,18364906.413413335,,,
2025-07-17 13:48:10,,18364906.413413335,,,
2025-07-17 13:48:15,,18364906.413413335,,,
2025-07-17 13:48:20,,18364906.413413335,,,
2025-07-17 13:48:25,,17174972.707807787,,,
2025-07-17 13:48:30,,18464151.25191106,,,
2025-07-17 13:48:35,,18485301.11667594,,,
2025-07-17 13:48:40,,18485301.11667594,,,
2025-07-17 13:48:45,,18485301.11667594,,,
2025-07-17 13:48:50,,18485301.11667594,,,
2025-07-17 13:48:55,,18468184.094985906,,,
2025-07-17 13:49:00,,18468184.094985906,,,
2025-07-17 13:49:05,,18488066.743590128,,,
2025-07-17 13:49:10,,18488066.743590128,,,
2025-07-17 13:49:15,,18488066.743590128,,,
2025-07-17 13:49:20,,18488066.743590128,,,
2025-07-17 13:49:25,,18488066.743590128,,,
2025-07-17 13:49:30,,17206245.619059354,,,
2025-07-17 13:49:35,,18600456.145706147,,,
2025-07-17 13:49:40,,18600456.145706147,,,
2025-07-17 13:49:45,,18600456.145706147,,,
2025-07-17 13:49:50,,18600456.145706147,,,
2025-07-17 13:49:55,,18600456.145706147,,,
2025-07-17 13:50:00,,18548037.351877686,,,
2025-07-17 13:55:00,,,5528346.78,,
2025-07-17 13:55:05,,,9575076.701867918,,
2025-07-17 13:55:10,,,9575076.701867918,,
2025-07-17 13:55:15,,,10244866.260441495,,
2025-07-17 13:55:20,,,10244866.260441495,,
2025-07-17 13:55:25,,,10244866.260441495,,
2025-07-17 13:55:30,,,10244866.260441495,,
2025-07-17 13:55:35,,,11376088.37724379,,
2025-07-17 13:55:40,,,11376088.37724379,,
2025-07-17 13:55:45,,,11376088.37724379,,
2025-07-17 13:55:50,,,10578285.406030716,,
2025-07-17 13:55:55,,,10388683.933076652,,
2025-07-17 13:56:00,,,10199082.460122593,,
2025-07-17 13:56:05,,,14994941.141717209,,
2025-07-17 13:56:10,,,14994941.141717209,,
